AND2X1, 2.00, 15.00, 0.10, 0.50, 2.0556e-08, 4.1828e-10
AND2X1, 2.00, 15.00, 0.10, 1.00, 2.1147e-08, 6.3728e-10
AND2X1, 2.00, 15.00, 0.10, 1.50, 2.1737e-08, 8.5328e-10
AND2X1, 2.00, 15.00, 0.15, 0.50, 2.0540e-08, 5.0850e-10
AND2X1, 2.00, 15.00, 0.15, 1.00, 2.1130e-08, 7.3128e-10
AND2X1, 2.00, 15.00, 0.15, 1.50, 2.1722e-08, 9.4828e-10
AND2X1, 2.00, 15.00, 0.20, 0.50, 2.0525e-08, 5.9850e-10
AND2X1, 2.00, 15.00, 0.20, 1.00, 2.1112e-08, 8.2428e-10
AND2X1, 2.00, 15.00, 0.20, 1.50, 2.1705e-08, 1.0433e-09
AND2X1, 2.20, 5.00, 0.05, 0.50, 2.0576e-08, 3.1628e-10
AND2X1, 2.20, 5.00, 0.05, 1.00, 2.1165e-08, 5.3328e-10
AND2X1, 2.20, 5.00, 0.05, 1.50, 2.1753e-08, 7.4928e-10
AND2X1, 2.20, 5.00, 0.10, 0.50, 2.0560e-08, 4.0428e-10
AND2X1, 2.20, 5.00, 0.10, 1.00, 2.1153e-08, 6.2028e-10
AND2X1, 2.20, 5.00, 0.10, 1.50, 2.1743e-08, 8.3628e-10
AND2X1, 2.20, 5.00, 0.15, 0.50, 2.0545e-08, 4.8928e-10
AND2X1, 2.20, 5.00, 0.15, 1.00, 2.1137e-08, 7.0928e-10
AND2X1, 2.20, 5.00, 0.15, 1.50, 2.1729e-08, 9.2428e-10
AND2X1, 2.20, 5.00, 0.20, 0.50, 2.0531e-08, 5.7450e-10
AND2X1, 2.20, 5.00, 0.20, 1.00, 2.1120e-08, 7.9728e-10
AND2X1, 2.20, 5.00, 0.20, 1.50, 2.1714e-08, 1.0133e-09
AND2X1, 2.20, 10.00, 0.05, 0.50, 2.0576e-08, 3.1628e-10
AND2X1, 2.20, 10.00, 0.05, 1.00, 2.1166e-08, 5.3228e-10
AND2X1, 2.20, 10.00, 0.05, 1.50, 2.1753e-08, 7.4928e-10
AND2X1, 2.20, 10.00, 0.10, 0.50, 2.0559e-08, 4.0428e-10
AND2X1, 2.20, 10.00, 0.10, 1.00, 2.1152e-08, 6.2028e-10
AND2X1, 2.20, 10.00, 0.10, 1.50, 2.1743e-08, 8.3528e-10
AND2X1, 2.20, 10.00, 0.15, 0.50, 2.0544e-08, 4.8928e-10
AND2X1, 2.20, 10.00, 0.15, 1.00, 2.1137e-08, 7.0828e-10
AND2X1, 2.20, 10.00, 0.15, 1.50, 2.1730e-08, 9.2328e-10
AND2X1, 2.20, 10.00, 0.20, 0.50, 2.0531e-08, 5.7350e-10
AND2X1, 2.20, 10.00, 0.20, 1.00, 2.1120e-08, 7.9628e-10
AND2X1, 2.20, 10.00, 0.20, 1.50, 2.1714e-08, 1.0123e-09
AND2X1, 2.20, 15.00, 0.05, 0.50, 2.0576e-08, 3.1628e-10
AND2X1, 2.20, 15.00, 0.05, 1.00, 2.1166e-08, 5.3228e-10
AND2X1, 2.20, 15.00, 0.05, 1.50, 2.1753e-08, 7.4928e-10
AND2X1, 2.20, 15.00, 0.10, 0.50, 2.0560e-08, 4.0328e-10
AND2X1, 2.20, 15.00, 0.10, 1.00, 2.1153e-08, 6.1928e-10
AND2X1, 2.20, 15.00, 0.10, 1.50, 2.1743e-08, 8.3528e-10
AND2X1, 2.20, 15.00, 0.15, 0.50, 2.0545e-08, 4.8828e-10
AND2X1, 2.20, 15.00, 0.15, 1.00, 2.1137e-08, 7.0828e-10
AND2X1, 2.20, 15.00, 0.15, 1.50, 2.1729e-08, 9.2328e-10
AND2X1, 2.20, 15.00, 0.20, 0.50, 2.0530e-08, 5.7350e-10
AND2X1, 2.20, 15.00, 0.20, 1.00, 2.1120e-08, 7.9628e-10
AND2X1, 2.20, 15.00, 0.20, 1.50, 2.1714e-08, 1.0113e-09
AND2X1, 2.40, 5.00, 0.05, 0.50, 2.0576e-08, 3.0828e-10
AND2X1, 2.40, 5.00, 0.05, 1.00, 2.1166e-08, 5.2628e-10
AND2X1, 2.40, 5.00, 0.05, 1.50, 2.1752e-08, 7.4428e-10
AND2X1, 2.40, 5.00, 0.10, 0.50, 2.0560e-08, 3.8828e-10
AND2X1, 2.40, 5.00, 0.10, 1.00, 2.1152e-08, 6.0628e-10
AND2X1, 2.40, 5.00, 0.10, 1.50, 2.1742e-08, 8.2328e-10
AND2X1, 2.40, 5.00, 0.15, 0.50, 2.0542e-08, 4.6828e-10
AND2X1, 2.40, 5.00, 0.15, 1.00, 2.1137e-08, 6.8628e-10
AND2X1, 2.40, 5.00, 0.15, 1.50, 2.1728e-08, 9.0328e-10
AND2X1, 2.40, 5.00, 0.20, 0.50, 2.0528e-08, 5.4550e-10
AND2X1, 2.40, 5.00, 0.20, 1.00, 2.1121e-08, 7.6628e-10
AND2X1, 2.40, 5.00, 0.20, 1.50, 2.1714e-08, 9.8328e-10
AND2X1, 2.40, 10.00, 0.05, 0.50, 2.0576e-08, 3.0828e-10
AND2X1, 2.40, 10.00, 0.05, 1.00, 2.1165e-08, 5.2628e-10
AND2X1, 2.40, 10.00, 0.05, 1.50, 2.1752e-08, 7.4428e-10
AND2X1, 2.40, 10.00, 0.10, 0.50, 2.0560e-08, 3.8828e-10
AND2X1, 2.40, 10.00, 0.10, 1.00, 2.1152e-08, 6.0528e-10
AND2X1, 2.40, 10.00, 0.10, 1.50, 2.1742e-08, 8.2328e-10
AND2X1, 2.40, 10.00, 0.15, 0.50, 2.0543e-08, 4.6728e-10
AND2X1, 2.40, 10.00, 0.15, 1.00, 2.1138e-08, 6.8528e-10
AND2X1, 2.40, 10.00, 0.15, 1.50, 2.1729e-08, 9.0228e-10
AND2X1, 2.40, 10.00, 0.20, 0.50, 2.0528e-08, 5.4450e-10
AND2X1, 2.40, 10.00, 0.20, 1.00, 2.1121e-08, 7.6628e-10
AND2X1, 2.40, 10.00, 0.20, 1.50, 2.1714e-08, 9.8228e-10
AND2X1, 2.40, 15.00, 0.05, 0.50, 2.0576e-08, 3.0828e-10
AND2X1, 2.40, 15.00, 0.05, 1.00, 2.1165e-08, 5.2628e-10
AND2X1, 2.40, 15.00, 0.05, 1.50, 2.1752e-08, 7.4428e-10
AND2X1, 2.40, 15.00, 0.10, 0.50, 2.0560e-08, 3.8828e-10
AND2X1, 2.40, 15.00, 0.10, 1.00, 2.1152e-08, 6.0528e-10
AND2X1, 2.40, 15.00, 0.10, 1.50, 2.1741e-08, 8.2328e-10
AND2X1, 2.40, 15.00, 0.15, 0.50, 2.0542e-08, 4.6728e-10
AND2X1, 2.40, 15.00, 0.15, 1.00, 2.1137e-08, 6.8528e-10
AND2X1, 2.40, 15.00, 0.15, 1.50, 2.1728e-08, 9.0228e-10
AND2X1, 2.40, 15.00, 0.20, 0.50, 2.0528e-08, 5.4450e-10
AND2X1, 2.40, 15.00, 0.20, 1.00, 2.1121e-08, 7.6528e-10
AND2X1, 2.40, 15.00, 0.20, 1.50, 2.1713e-08, 9.8228e-10
